datetime,date,time,city,state,country,shape,duration (seconds),duration (hours/min),comments,latitude,longitude,lighting_conditions
4/22/2009 16:00,2009-04-22,16:00,west chester,pa,us,cigar,5,5 seconds or less,Large grey cigar shaped object.,39.85,-75.36,daylight
4/22/2009 21:00,2009-04-22,21:00,radcliff,ky,us,changing,1800,30 minutes,Bright orange lights were seen&#44 at one point forming a triangle in the sky.,37.84,-85.95,night
4/22/2009 21:10,2009-04-22,21:10,saline,mi,us,light,120,1-2 minutes,4/22/09 Point of light in sky that made 90 degree turn,42.17,-83.78,night
4/22/2009 21:30,2009-04-22,21:30,downingtown,pa,us,fireball,4,4 seconds,buring ball&#44 over chester county pa,40.01,-75.7,night
4/22/2009 22:00,2009-04-22,22:00,lagrange,in,us,triangle,10,10 sec,Triangular fast mover,41.64,-85.42,night
4/22/2010 00:30,2010-04-22,00:30,easton,pa,us,light,12,12 seconds,Fast moving blue dot over Delaware River near Easton&#44 PA,40.69,-75.22,night
4/22/2010 00:51,2010-04-22,00:51,kingston,nh,us,sphere,10,10 seconds,Large white orb hovering in the sky.,42.94,-71.05,night
4/22/2010 08:00,2010-04-22,08:00,eunice,la,us,circle,3600,an hour and 1/2,Well my family went out shopping and when they came back they ran inside saying there is a ufo&#33 I went outside to look it wasen&#39t there,30.49,-92.42,daylight
4/22/2010 17:35,2010-04-22,17:35,claremont,ca,us,unknown,180,2-3 minutes,Sighting of 12 bright&#44 shiny objects darting about late afternoon eastern sky.,34.1,-117.72,daylight
4/22/2010 19:52,2010-04-22,19:52,beaufort,sc,us,circle,360,6 minutes,2 Black circles moving in a straight line.,32.43,-80.67,night
4/22/2010 22:50,2010-04-22,22:50,santa barbara,ca,us,chevron,15,15 seconds,Large Chevron shaped craft and bright Orbs over Santa Barbara&#44 CA.,34.42,-119.7,night
4/22/2010 23:00,2010-04-22,23:00,lagrangeville,ny,us,cigar,300,3 to 5 minutes,Object with bright pulsating white lights seen on skidmore road  in Lagrange,41.65,-73.76,night
4/22/2010 23:05,2010-04-22,23:05,santa barbara,ca,us,light,1800,on and off 30 minutes.,Sighting of orbs after report of large boomerang shaped craft.,34.42,-119.7,night
4/22/2011 00:00,2011-04-22,00:00,hollister,ca,us,rectangle,25,15-25 seconds,Square craft&#44 4 orange lights with 1 flashing light in center.  ((NUFORC Note:  Report from former Air Traffic Controller.  PD)),36.85,-121.4,night
4/22/2011 02:36,2011-04-22,02:36,mendon,il,us,light,2220,36-37 minutes,My friends an I were walking by a graveyard in Mendon&#44 Illinois when one of us noticed a white light with a purple halo-like ring aroun,40.09,-91.28,night
4/22/2011 08:45,2011-04-22,08:45,fredericksburg,va,us,unknown,120,2min,way to big to be a chopper &#44about 1000 yds away&#44twice as high as the trees&#44we all saw it,38.3,-77.46,daylight
4/22/2011 21:30,2011-04-22,21:30,hampton (canada),nb,ca,light,180,3 min,Bright light NE of Hampton elavation 40 degrees heading E rising  then north.,46.22,-63.47,night
4/22/2011 22:00,2011-04-22,22:00,denver (west of),co,us,other,1800,20-30 min.,large bright flashing object with pertruding light ray underneath west of denver travelling south west.,39.74,-104.98,night
