datetime,date,time,city,state,country,shape,duration (seconds),duration (hours/min),comments,latitude,longitude,lighting_conditions
12/26/2011 21:30,2011-12-26,21:30,morganton,nc,us,circle,300,2-5 mins,4 Red and orange pulsating circle objects slowly ascending till disapear.,35.75,-81.68,night
12/26/2011 23:54,2011-12-26,23:54,south lyon,mi,us,triangle,15,15 seconds,Big Iso-triangular craft 3 bright white lights tight up front&#44 flashing center red&#44 several bright whites in a row in back&#44 slight hum,42.46,-83.65,night
12/26/2012 00:00,2012-12-26,00:00,hudson (canada),qc,ca,light,420,5-7  minutes,We were driving Quarry point and saw a light hovering in the sky about a few km away (1000ft in the air).,45.45,-74.15,night
12/26/2012 00:00,2012-12-26,00:00,scarborough (canada),on,ca,circle,60,~1 minute,At 12am on Dec 26&#442012 i went on my 8th floor balcony north facing to have a cigarette.I noticed a orangish red light size of a bas,43.75,-79.2,night
12/26/2012 00:30,2012-12-26,00:30,howards grove,wi,us,fireball,480,5-8 minutes,8 witnesss&#44 soundless&#44 constant speed/velocity&#44 redish orange in color&#44 8-10 balls&#44 about 800-1000ft up in the sky.,43.83,-87.82,night
12/26/2012 06:00,2012-12-26,06:00,new york city (brooklyn),ny,us,disk,1200,20 minutes,Disc shaped UFO sighted in New York.,40.71,-74.01,daylight
12/26/2012 08:00,2012-12-26,08:00,hlawatha,ia,,oval,60,1:00,Oval flashing in the sky.  ((NUFORC Note:  Possible sighting of Sirius??  PD)),42.05,-91.68,daylight
12/26/2012 11:20,2012-12-26,11:20,williston,vt,us,other,120,2 minutes,Hovered very close to the ground for about a minute then disappeared.,44.44,-73.07,daylight
12/26/2012 12:00,2012-12-26,12:00,the dalles,or,us,other,600,10 minutes,((HOAX??))  Whirring black object off our front porch.,45.59,-121.18,daylight
12/26/2012 13:20,2012-12-26,13:20,annecy (france),,,diamond,2,seconds,Low flying delta shaped object in middle of the day.,45.9,6.13,daylight
12/26/2012 18:00,2012-12-26,18:00,bartlett,il,us,fireball,300,5 minutes,Slow moving amber colored ball meets up with others and disappears.,42.0,-88.19,night
12/26/2012 20:00,2012-12-26,20:00,oceano,ca,us,rectangle,5,5 seconds,Huge rectangle crossed the sky.,35.1,-120.61,night
12/26/2012 22:14,2012-12-26,22:14,murfreesboro,tn,us,,5,5 seconds,Heard a very loud whoosh noise.,35.85,-86.39,night
12/26/2013 03:00,2013-12-26,03:00,bartow county (hwy 20; near wilderness camp rd.),ga,us,circle,60,~1 minute,Ultra bright bluish circle hovered then shot to the ground on north side of Lake Allatoona.,32.88,-82.47,night
12/26/2013 04:30,2013-12-26,04:30,st. louis,mo,us,circle,15,15 seconds,Let my dog outside&#44 when trying to get dog back inside Green object with blinking green light and white lite did nose dive and then van,38.63,-90.2,night
12/26/2013 05:30,2013-12-26,05:30,little rock,ar,us,cigar,180,3:00 min.,Large white cigar shaped ufo.,34.75,-92.29,night
12/26/2013 16:15,2013-12-26,16:15,borrego springs (near),ca,us,sphere,20,20 seconds,Sun glare reveals craft.,33.26,-116.37,daylight
12/26/2013 17:05,2013-12-26,17:05,puyallup,wa,us,other,180,3 minutes,4 bright objects in the sky above downtown puyallup.,47.19,-122.29,daylight
12/26/2013 17:21,2013-12-26,17:21,o&#39fallon,mo,us,cigar,45,45 seconds,bright green light traveling high speed south west sky.,38.81,-90.7,daylight
12/26/2013 17:43,2013-12-26,17:43,manhattan,ks,us,fireball,4,4 seconds,North bound fireball in Thursday evening twilight sky.,39.18,-96.57,daylight
12/26/2013 17:45,2013-12-26,17:45,st. charles,mo,us,oval,10,10 seconds,Neon UFO Decent.,38.78,-90.48,daylight
12/26/2013 17:51,2013-12-26,17:51,columbia,mo,us,light,45,45 seconds,Falling light with flames/color surrounding it.,38.95,-92.33,daylight
12/26/2013 18:00,2013-12-26,18:00,alpharetta,ga,us,circle,1200,20 minutes,Four orange circular objects with triangle and lights at the top.,34.08,-84.29,night
12/26/2013 18:00,2013-12-26,18:00,monument,co,us,fireball,780,12-13 minutes,Fireball-like objects over Monument&#44 Colorado.,39.09,-104.87,night
12/26/2013 18:21,2013-12-26,18:21,anchorage,ak,us,unknown,300,5 minutes,Orange light in sky approaching from southeast.  Steady trajectory.,61.22,-149.9,night
12/26/2013 19:00,2013-12-26,19:00,medina,oh,us,changing,8,4-8 seconds,Four lights in square shape moving quickly formed into a straight line and disappeared.,41.14,-81.86,night
12/26/2013 19:00,2013-12-26,19:00,sydney (australia),,au,other,600,10 minutes,black dot doing circles then flying at speed out of sight.,-33.86,151.21,night
12/26/2013 19:13,2013-12-26,19:13,columbus,oh,us,fireball,180,3 minutes,5 balls of fire in the sky flying in formation.,39.96,-83.0,night
12/26/2013 20:00,2013-12-26,20:00,wayne,nj,us,triangle,20,20 seconds,3 Lights rotating fixed to each other that split up and flew off fast.,40.93,-74.28,night
12/26/2013 21:00,2013-12-26,21:00,los angeles,ca,us,cigar,1,1 second,Green short line falling down really fast in night sky.,34.05,-118.24,night
12/26/2013 21:25,2013-12-26,21:25,kearns,ut,us,circle,120,2 minutes,Two circular objects red/orange above SLC moving north bound  9:25pm thursday  12-26-13.,40.66,-112.0,night
12/26/2013 22:15,2013-12-26,22:15,boynton beach,fl,us,circle,90,90 seconds,While walking Westbound I saw a large bright orange round object at roof top level moving upward at about a 60&#176; angel in a south by sou,26.52,-80.07,night
12/26/2013 22:30,2013-12-26,22:30,foley,al,us,diamond,300,5 minutes,Lights flying east in formation non recognized light displayed&#44 flashing red greens with one steady burn  white light leading&#44 nostrobs,30.41,-87.68,night
12/26/2013 23:00,2013-12-26,23:00,batesville,ms,us,unknown,600,10 minutes,Mysterious Lights seen over field; Caught on Video.,34.31,-89.94,night
12/26/2013 23:00,2013-12-26,23:00,glen burnie,md,us,circle,180,3 minutes,I saw a round&#44 orb-shaped object last night.  It was dark&#44 with stars out last night&#44 clear sky.  It had a lot of red flashing lights.,39.16,-76.62,night
12/26/2013 23:30,2013-12-26,23:30,compton,ca,us,fireball,90,1:30,1 Bright Orange Fireball Looking Sphere In The Night Sky.,33.9,-118.22,night
12/27/2007 04:25,2007-12-27,04:25,braintree,vt,,unknown,1800,30 minutes,Craft with 5 rectangular openings that emitted white light seen in Braintree sky.   ((NUFORC Note:  Possible hoax??  PD)),43.96,-72.7,night
12/27/2007 07:30,2007-12-27,07:30,garland,tx,us,disk,600,5-10 minutes,Dark Gray smokey shaped saucer above the highway,32.91,-96.64,daylight
12/27/2007 17:00,2007-12-27,17:00,phoenix,az,us,rectangle,2880,48 minutes,Shape shifting black object at sunset hovering south east in sky,33.45,-112.07,daylight
12/27/2007 21:25,2007-12-27,21:25,hull (uk/england),,gb,light,300,5 mintues,Three orange/amber lights observed in Hull England on the 27th December 2007 at 21:25,53.72,-0.33,night
12/27/2008 00:00,2008-12-27,00:00,southampton (uk/england),,gb,circle,4,00.04,2 Orange circular lights in sky over Southampton 27/12/08,50.9,-1.4,night
12/27/2008 15:00,2008-12-27,15:00,los angeles,ca,us,sphere,1800,30 minutes,Star/sphere like object moving back and forth.,34.05,-118.24,daylight
12/27/2008 16:49,2008-12-27,16:49,riverside,ca,us,formation,300,5 min approx,Oval object with 5 or 6 smaller spheres,33.95,-117.4,daylight
12/27/2008 18:00,2008-12-27,18:00,st. cloud,mn,us,triangle,3600,1 hour,((HOAX))  triangle in the sky 12/27/08 800pm just south of st cloud betwen I94 and 75,45.56,-94.16,night
12/27/2008 19:00,2008-12-27,19:00,laguna niguel,ca,us,triangle,45,45 seconds,triangle vertical,33.52,-117.71,night
12/27/2008 19:30,2008-12-27,19:30,newberry,nc,,light,20,20 seconds,Large green light appeared falling from sky and disappearing behind mountains-no tail or aura present.,35.11,-77.04,night
12/27/2008 19:30,2008-12-27,19:30,wurtand,ky,,other,345600,4 days,light in the sky over wurtland ky.  ((NUFORC Note:  We suspect that the witness was observing Venus.  PD)),38.55,-82.78,night
12/27/2008 20:15,2008-12-27,20:15,spring hill,fl,us,cigar,2,seconds,ufo over springhill florida,28.56,-82.45,night
12/27/2008 20:30,2008-12-27,20:30,laguna hills,ca,us,diamond,180,3 min,fast&#44 unusual light movement,33.61,-117.71,night
12/27/2008 22:00,2008-12-27,22:00,boca raton,fl,us,formation,10,7-10 seconds,Soundless rectangular object with many light glides quickly across the night sky,26.36,-80.08,night
12/27/2008 22:17,2008-12-27,22:17,downey,ca,us,other,2,2 sec,Funny shooting star.,33.94,-118.13,night
12/27/2008 22:30,2008-12-27,22:30,fort washington,md,us,disk,1200,15-20 minutes,Twinkling multicolor &quot;star&quot; that moved across the sky after being idle for over 10 minutes or more,38.71,-77.02,night
12/27/2009 00:07,2009-12-27,00:07,oshawa (canada),on,ca,sphere,5,4-5 seconds,Low flying bright neon green spherical object moving slow just above houses,43.9,-78.87,night
12/27/2009 05:45,2009-12-27,05:45,spring grove,pa,us,rectangle,300,5 mins,Sighting in Spring Grove PA -Revised,39.87,-76.87,night
12/27/2009 05:45,2009-12-27,05:45,spring grove,pa,us,rectangle,45,45 secs.,My dog awaken me at 5:45am in the morning&#44 as I was getting out bed I glanced outside the window and seen an object moving across the s,39.87,-76.87,night
12/27/2009 18:11,2009-12-27,18:11,pembroke pines,fl,us,light,60,1 minute,Craft shoots across evening sky on edge of the Everglades,26.0,-80.22,night
12/27/2010 14:00,2010-12-27,14:00,los angeles,ca,us,other,1200,20 min,looked like a jelly fish tumbling foward  with yellow&#44red&#44blue lights in sequence then turned green edges clear.,34.05,-118.24,daylight
